Education,South,Sex,Experience,Union,Wage,Age,Race,Occupation,Sector,Married
8,0,1,21,0,5.1,35,2,6,1,1
9,0,1,42,0,4.95,57,3,6,1,1
12,0,0,1,0,6.67,19,4,6,1,0
12,0,0,4,0,4,22,3,6,0,0
12,0,0,17,0,7.5,35,3,6,0,1
13,0,0,9,1,13.07,28,5,6,0,0
10,1,0,27,0,4.45,43,5,6,0,0
12,0,0,9,0,19.47,27,3,6,0,0
16,0,0,11,0,13.28,33,5,6,1,1
12,0,0,9,0,8.75,27,3,6,0,0
12,0,0,17,1,11.35,35,4,6,0,1
12,0,0,19,1,11.5,37,4,6,1,0
8,1,0,27,0,6.5,41,5,6,0,1
9,1,0,30,1,6.25,45,3,6,0,0
9,1,0,29,0,19.98,44,5,6,0,1
12,0,0,37,0,7.3,55,4,6,2,1
7,1,0,44,0,8,57,4,6,0,1
12,0,0,26,1,22.2,44,5,6,1,1
11,0,0,16,0,3.65,33,3,6,0,0
12,0,0,33,0,20.55,51,5,6,0,1
12,0,1,16,1,5.71,34,3,6,1,1
7,0,0,42,1,7,55,1,6,1,1
12,0,0,9,0,3.75,27,3,6,0,0
11,1,0,14,0,4.5,31,1,6,0,1
12,0,0,23,0,9.56,41,3,6,0,1
6,1,0,45,0,5.75,57,5,6,1,1
12,0,0,8,0,9.36,26,3,6,1,1
10,0,0,30,0,6.5,46,5,6,0,1
12,0,1,8,0,3.35,26,3,6,1,1
12,0,0,8,0,4.75,26,3,6,0,1
14,0,0,13,0,8.9,33,3,6,0,0
12,1,1,46,0,4,64,5,6,0,0
8,0,0,19,0,4.7,33,3,6,0,1
17,1,1,1,0,5,24,4,6,0,0
12,0,0,19,0,9.25,37,3,6,1,0
12,0,0,36,0,10.67,54,1,6,0,0
12,1,0,20,0,7.61,38,1,6,2,1
12,0,0,35,1,10,53,1,6,2,1
12,0,0,3,0,7.5,21,3,6,0,0
14,1,0,10,0,12.2,30,3,6,1,1
12,0,0,0,0,3.35,18,3,6,0,0
14,1,0,14,1,11,34,4,6,1,1
12,0,0,14,0,12,32,4,6,1,1
9,0,1,16,0,4.85,31,4,6,1,1
13,1,0,8,0,4.3,27,4,6,2,0
7,1,1,15,0,6,28,5,6,1,1
16,0,0,12,0,15,34,5,6,1,1
10,1,0,13,0,4.85,29,4,6,0,0
8,0,0,33,1,9,47,4,6,0,1
12,0,0,9,0,6.36,27,4,6,1,1
12,0,0,7,0,9.15,25,4,6,0,1
16,0,0,13,1,11,35,5,6,1,1
12,0,1,7,0,4.5,25,5,6,1,1
12,0,1,16,0,4.8,34,5,6,1,1
13,0,0,0,0,4,19,5,6,0,0
12,0,1,11,0,5.5,29,4,6,1,0
13,0,0,17,0,8.4,36,4,6,1,0
10,0,0,13,0,6.75,29,4,6,1,1
12,0,0,22,1,10,40,1,6,1,0
12,0,1,28,0,5,46,5,6,1,1
11,0,0,17,0,6.5,34,5,6,0,0
12,0,0,24,1,10.75,42,5,6,2,1
3,1,0,55,0,7,64,2,6,1,1
12,1,0,3,0,11.43,21,4,6,2,0
12,0,0,6,1,4,24,1,6,1,0
10,0,0,27,0,9,43,4,6,2,1
12,1,0,19,1,13,37,1,6,1,1
12,0,0,19,1,12.22,37,4,6,2,1
12,0,1,38,0,6.28,56,5,6,1,1
10,1,0,41,1,6.75,57,1,6,1,1
11,1,0,3,0,3.35,20,1,6,1,0
14,0,0,20,1,16,40,4,6,0,1
10,0,0,15,0,5.25,31,4,6,0,1
8,1,0,8,0,3.5,22,2,6,1,1
8,1,1,39,0,4.22,53,4,6,1,1
6,0,1,43,1,3,55,2,6,1,1
11,1,1,25,1,4,42,4,6,1,1
12,0,0,11,1,10,29,4,6,0,1
12,0,0,12,0,5,30,1,6,0,1
12,1,0,35,1,16,53,4,6,1,1
14,0,0,14,0,13.98,34,5,6,0,0
12,0,0,16,1,13.26,34,5,6,0,1
10,0,1,44,1,6.1,60,4,6,1,0
16,1,1,13,0,3.75,35,4,6,0,0
13,0,0,8,1,9,27,1,6,1,0
12,0,0,13,0,9.45,31,5,6,1,0
11,0,0,18,1,5.5,35,5,6,0,1
12,0,1,18,0,8.93,36,4,6,0,1
12,1,1,6,0,6.25,24,4,6,0,0
11,1,0,37,1,9.75,54,4,6,1,1
12,1,0,2,0,6.73,20,3,6,1,1
12,0,0,23,0,7.78,41,3,6,1,1
12,0,0,1,0,2.85,19,3,6,0,0
12,1,1,10,0,3.35,28,1,6,1,1
12,0,0,23,0,19.98,41,3,6,1,1
12,0,0,8,1,8.5,26,1,6,0,1
15,0,1,9,0,9.75,30,5,6,1,1
12,0,0,33,1,15,51,5,6,2,1
12,0,1,19,0,8,37,5,6,1,1
13,0,0,14,0,11.25,33,5,6,0,1
11,0,0,13,1,14,30,5,6,0,1
10,0,0,12,0,10,28,5,6,2,1
12,0,0,8,0,6.5,26,5,6,0,0
12,0,0,23,0,9.83,41,3,6,1,1
14,0,1,13,0,18.5,33,4,6,1,0
12,1,0,9,0,12.5,27,4,6,0,1
14,0,0,21,1,26,41,4,6,0,1
5,1,0,44,0,14,55,3,6,2,1
12,0,0,4,1,10.5,22,3,6,0,1
8,0,0,42,0,11,56,3,6,1,1
13,0,0,10,1,12.47,29,4,6,0,1
12,0,0,11,0,12.5,29,5,6,2,0
